 This simulation started under the following conditions!
 
 The input simulation start time            1           1        1979
  Month   1   Day   1     1979
  Month   1   Day   2     1979
  Month   1   Day   3     1979
  Month   1   Day   4     1979    0.09    0.00
  Month   1   Day   5     1979    0.18    0.00
  Month   1   Day   6     1979    0.24    0.00
  Month   1   Day   7     1979    0.28    0.00
  Month   1   Day   8     1979    0.31    0.00
  Month   1   Day   9     1979    0.34    0.00
  Month   1   Day  10     1979    0.38    0.00
  Month   1   Day  11     1979    0.41    0.00
  Month   1   Day  12     1979    0.43    0.00
  Month   1   Day  13     1979    0.45    0.00
  Month   1   Day  14     1979    0.47    0.00
  Month   1   Day  15     1979    0.51    0.00
  Month   1   Day  16     1979    0.53    0.00
  Month   1   Day  17     1979    0.55    0.01
  Month   1   Day  18     1979    0.56    0.01
  Month   1   Day  19     1979    0.58    0.01
  Month   1   Day  20     1979    0.58    0.02
  Month   1   Day  21     1979    0.58    0.03
  Month   1   Day  22     1979    0.59    0.03
  Month   1   Day  23     1979    0.60    0.03
  Month   1   Day  24     1979    0.61    0.03
  Month   1   Day  25     1979    0.62    0.03
  Month   1   Day  26     1979    0.62    0.03
  Month   1   Day  27     1979    0.63    0.03
  Month   1   Day  28     1979    0.63    0.04
  Month   1   Day  29     1979    0.64    0.04
  Month   1   Day  30     1979    0.64    0.04
  Month   1   Day  31     1979    0.65    0.04
  Month   2   Day   1     1979    0.66    0.04
  Month   2   Day   2     1979    0.66    0.04
  Month   2   Day   3     1979    0.67    0.04
  Month   2   Day   4     1979    0.68    0.04
  Month   2   Day   5     1979    0.69    0.04
  Month   2   Day   6     1979    0.71    0.04
  Month   2   Day   7     1979    0.71    0.05
  Month   2   Day   8     1979    0.73    0.05
  Month   2   Day   9     1979    0.74    0.05
  Month   2   Day  10     1979    0.75    0.05
  Month   2   Day  11     1979    0.76    0.05
  Month   2   Day  12     1979    0.77    0.05
  Month   2   Day  13     1979    0.77    0.05
  Month   2   Day  14     1979    0.78    0.06
  Month   2   Day  15     1979    0.79    0.06
  Month   2   Day  16     1979    0.79    0.08
  Month   2   Day  17     1979    0.80    0.08
  Month   2   Day  18     1979    0.81    0.08
  Month   2   Day  19     1979    0.82    0.08
  Month   2   Day  20     1979    0.82    0.08
  Month   2   Day  21     1979    0.82    0.08
  Month   2   Day  22     1979    0.83    0.09
  Month   2   Day  23     1979    0.83    0.13
  Month   2   Day  24     1979    0.83    0.13
  Month   2   Day  25     1979    0.83    0.13
  Month   2   Day  26     1979    0.84    0.13
  Month   2   Day  27     1979    0.84    0.13
  Month   2   Day  28     1979    0.84    0.13
  Month   3   Day   1     1979    0.84    0.13
  Month   3   Day   2     1979    0.84    0.14
  Month   3   Day   3     1979    0.84    0.15
  Month   3   Day   4     1979    0.84    0.17
  Month   3   Day   5     1979    0.84    0.18
  Month   3   Day   6     1979    0.84    0.18
  Month   3   Day   7     1979    0.84    0.19
  Month   3   Day   8     1979    0.85    0.19
  Month   3   Day   9     1979    0.85    0.20
  Month   3   Day  10     1979    0.85    0.20
  Month   3   Day  11     1979    0.85    0.20
  Month   3   Day  12     1979    0.85    0.20
  Month   3   Day  13     1979    0.85    0.20
  Month   3   Day  14     1979    0.86    0.20
  Month   3   Day  15     1979    0.86    0.20
  Month   3   Day  16     1979    0.86    0.20
  Month   3   Day  17     1979    0.86    0.20
  Month   3   Day  18     1979    0.86    0.17
  Month   3   Day  19     1979    0.86    0.13
  Month   3   Day  20     1979    0.85    0.09
  Month   3   Day  21     1979    0.85    0.09
  Month   3   Day  22     1979    0.85    0.05
  Month   3   Day  23     1979    0.85    0.02
  Month   3   Day  24     1979    0.85    0.02
