  1   4    511.7      0.0 0.00695 0.00000 0.00000 0.00000 0.010 0.000
  1   5   -703.8    145.2 -.01154 0.00000 0.00000 0.00000 0.000 0.000
  1   6  -4642.6      0.0 -.06308 0.00000 0.00000 0.00000 0.000 0.000
  1   7  -1967.8      0.0 -.02674 0.00000 0.00000 0.00000 0.000 0.000
  1   8   3142.9      0.0 0.04270 0.00000 0.00000 0.00000 0.047 0.000
  1   9   -335.2    227.3 -.00764 -.00173 0.00000 0.00000 0.038 0.000
  1  10  -2093.1    305.9 -.03260 -.00242 0.00000 0.00000 0.003 0.000
  1  11  -2056.6    369.6 -.03296 0.00000 0.00000 0.00000 0.000 0.000
  1  12  -1532.5      0.0 -.02082 0.00000 0.00000 0.00000 0.000 0.000
  1  13  -2720.9      0.0 -.03697 0.00000 0.00000 0.00000 0.000 0.000
  1  14    124.8      0.0 0.00170 0.00000 0.00000 0.00000 0.002 0.000
  1  15   -151.2    478.5 -.00856 0.00000 0.00000 0.00000 0.000 0.000
  1  16  -4776.5      0.0 -.06490 0.00000 0.00000 0.00000 0.000 0.000
  1  17  -6454.0      0.0 -.08769 0.00000 0.00000 0.00000 0.000 0.000
  1  18   2249.1      0.0 0.03056 0.00000 0.00000 0.00000 0.031 0.000
  1  19   2526.1    697.0 0.02485 0.00000 0.00000 0.00000 0.055 0.001
  1  20   4041.2    279.7 0.05111 0.00000 0.00000 0.00000 0.107 0.002
  1  21   3932.4    220.7 0.05043 0.00000 0.00000 0.00000 0.157 0.002
  1  22   3057.7    200.3 0.03882 0.00000 0.00000 0.00000 0.196 0.002
  1  23   2792.7    202.7 0.03519 0.00000 0.00000 0.00000 0.231 0.002
  1  24   3367.2    200.6 0.04302 0.00000 0.00000 0.00000 0.274 0.002
  1  25   1464.5    203.7 0.01713 0.00000 0.00000 0.00000 0.291 0.002
  1  26   1458.0    176.3 0.01741 0.00000 0.00000 0.00000 0.309 0.002
  1  27   1398.4    202.2 0.01625 0.00000 0.00000 0.00000 0.325 0.002
  1  28    932.4    189.0 0.01010 0.00000 0.00000 0.00000 0.335 0.002
  1  29   1271.1    155.9 0.01515 0.00000 0.00000 0.00000 0.350 0.002
  1  30   1054.6    177.2 0.01192 0.00000 0.00000 0.00000 0.362 0.002
  1  31    706.5    163.4 0.00738 0.00000 0.00000 0.00000 0.369 0.007
  2   1    971.0    145.9 0.01121 0.00000 0.00000 0.00000 0.381 0.007
  2   2    760.2    153.4 0.00824 0.00000 0.00000 0.00000 0.389 0.007
  2   3    717.1    154.9 0.00764 0.00000 0.00000 0.00000 0.396 0.007
  2   4    255.5    170.0 0.00116 0.00000 0.00000 0.00000 0.398 0.007
  2   5    -66.1    174.5 -.00327 -.01025 0.00000 0.00000 0.384 0.000
  2   6    -92.1    279.6 -.00505 -.00985 0.00000 0.00000 0.369 0.000
