 Month  Day  Year  Parameter  DepthEmax  |Error|max  DepthEmin  |Error|min  |Error|mean
    6     2  1980    TEMP       0.000     -13.451       8.000      -8.451     -10.951
    6     2  1980    DO         5.000      -7.293      11.000       0.069      -3.612
    7     1  1980    TEMP       0.000      -0.505       6.000      -0.005      -0.255
    7     1  1980    DO        11.000       9.766       7.000       0.690       5.228
    8     5  1980    TEMP       0.000      -1.679       0.000      -1.679      -1.679
    8     5  1980    DO        10.000       9.755       0.000       2.120       5.937
    9     2  1980    TEMP       0.000      -3.284       2.000      -2.284      -2.784
    9     2  1980    DO        11.000      10.571       1.000       2.858       6.715
    5     6  1981    TEMP       8.000      -3.122       1.000      -1.800      -2.461
    5     6  1981    DO         2.000       3.842      11.000       2.833       3.338
    6     2  1981    TEMP       0.000      -4.075      10.000      -0.075      -2.075
    6     2  1981    DO        11.000       9.812       0.000       1.719       5.765
    7     6  1981    TEMP       9.000      -2.769       3.000      -0.356      -1.563
    7     6  1981    DO         4.000       4.236      10.000      -0.100       2.068
    8     3  1981    TEMP       0.000      -3.561       8.000      -2.432      -2.996
    8     3  1981    DO        10.000       4.354       7.000       1.452       2.903
    9     1  1981    TEMP       0.000      -2.425       8.000      -1.925      -2.175
    9     1  1981    DO         0.400       3.173       0.000       1.834       2.504
    5    17  1985    TEMP       0.000      -2.752       8.000      -1.752      -2.252
    5    17  1985    DO         1.000       3.149      10.000       2.290       2.719
    6    25  1985    TEMP       0.000      -3.613       9.000      -2.613      -3.113
    6    25  1985    DO         9.000       2.423       4.000       1.433       1.928
    7    22  1985    TEMP       9.000      -5.567       2.000      -1.864      -3.715
    7    22  1985    DO         7.000      -4.753      11.000      -0.055      -2.404
    8    20  1985    TEMP       0.000      -4.853       1.000      -3.853      -4.353
    8    20  1985    DO         4.000       3.734       7.000       2.615       3.174
    9    18  1985    TEMP       8.000      -2.908       0.000      -2.332      -2.620
    9    18  1985    DO         8.000       5.717       0.000       2.866       4.291
    4    20  1990    TEMP       0.000      -7.395       8.000      -2.718      -5.057
    4    20  1990    DO         0.000      18.154       6.000      -0.441       8.857
    5     4  1990    TEMP       0.000      -6.747       8.000      -4.647      -5.697
    5     4  1990    DO         9.000       6.307       0.000       5.113       5.710
    5    21  1990    TEMP       0.000      -4.076      10.000      -3.276      -3.676
    5    21  1990    DO        10.000       4.204       0.000       2.943       3.573
    6     1  1990    TEMP       5.000      -5.649       2.000      -0.330      -2.990
    6     1  1990    DO         3.000       2.703       7.000       0.529       1.616
    6    18  1990    TEMP       8.000      -7.614       4.000      -3.911      -5.763
    6    18  1990    DO         8.000      -5.264       6.000       0.793      -2.235
    7     2  1990    TEMP       9.000      -7.181       1.000      -4.556      -5.868
    7     2  1990    DO         5.000       3.595       9.000       0.025       1.810
    7    16  1990    TEMP       8.000      -5.647       3.000      -2.578      -4.113
    7    16  1990    DO         3.000       2.843       8.000       0.263       1.553
    7    30  1990    TEMP       9.000      -6.255       0.000      -2.981      -4.618
    7    30  1990    DO         8.000      -6.456       6.000      -1.257      -3.856
    8    10  1990    TEMP       8.000      -3.902       5.000      -1.865      -2.884
    8    10  1990    DO         8.000      -4.151       6.000       0.462      -1.845
    8    24  1990    TEMP       5.000      -4.901       0.000      -4.084      -4.493
    8    24  1990    DO         1.000       2.648       7.000      -0.189       1.230
    9    11  1990    TEMP       0.000      -6.191       4.000      -5.691      -5.941
    9    11  1990    DO         2.000       1.850       7.000       1.281       1.566
    9    24  1990    TEMP       0.000      -3.712       8.000      -3.312      -3.512
    9    24  1990    DO         1.000       1.612       5.000       1.416       1.514
   10     8  1990    TEMP       0.000      -5.124       0.000      -5.124      -5.124
   10     8  1990    DO         1.000       2.542       8.000       1.672       2.107



 ANALYSIS OF ERRORS BETWEEN DATA AND MODEL

                                     TEMP       DO
 MAXIMUM ABSOLUTE ERROR            -13.45    18.15
 SLOPE: MODEL TO DATA REGRESSION     0.73     0.48
 REGRESSION COEFFICIENT (R**2)      -0.12    -0.70
 STANDARD ERROR OF ESTIMATE          4.23     3.53

 TOTAL NUMBER OF FIELD DATA IS:       269




 ANALYSIS OF ERRORS BETWEEN DATA AND MODEL AT CERTAIN DEPTHS


                                     WATER TEMPERATURES

 DEPTHS (M) FOR ERROR ANALYSIS       1.00     3.33     5.65     7.98    10.30
 SLOPE: MODEL TO DATA REGRESSION     0.85     0.88     0.91     0.98     0.91
 REGRESSION COEFFICIENT (R**2)       0.45     0.43     0.46     0.45     0.75
 STANDARD ERROR OF ESTIMATE          4.20     4.21     4.03     4.14     3.23
 TOTAL NUMBER OF DATA POINTS           27       27       27       26       10




                                     DISSOLVED OXYGEN

 DEPTHS (M) FOR ERROR ANALYSIS       1.00     3.33     5.65     7.98    10.30
 SLOPE: MODEL TO DATA REGRESSION     0.35     0.49     0.62     0.49     0.39
 REGRESSION COEFFICIENT (R**2)      -2.95    -1.39    -0.11    -0.18    -2.36
 STANDARD ERROR OF ESTIMATE          4.00     3.20     2.61     3.41     6.09
 TOTAL NUMBER OF DATA POINTS           27       27       27       26       10



 MAXIMUM CHLOROPHYLL-A  :          10-31-1990          0.000  (mg/l)
