 Month  Day  Year  Parameter  DepthEmax  |Error|max  DepthEmin  |Error|min  |Error|mean
    6    18  1980    TEMP       0.000     -17.134       9.000      -0.134      -8.634
    6    18  1980    DO        11.000      10.032       5.000      -0.419       4.806
    7    17  1980    TEMP       4.000     -11.377       7.000      -0.790      -6.083
    7    17  1980    DO         7.000       4.093      13.000       0.025       2.059
    8    14  1980    TEMP       5.000      -5.562       0.000       0.418      -2.572
    8    14  1980    DO         5.000      -5.747      13.000       0.152      -2.797
    9    18  1980    TEMP       9.000       3.529       7.000       0.343       1.936
    9    18  1980    DO         4.000       4.384       6.000      -0.048       2.168
    5    15  1981    TEMP       1.000       3.443       7.000       0.058       1.751
    5    15  1981    DO         2.000       2.395      11.000      -0.005       1.195
    6     4  1981    TEMP       0.000       4.740       4.000       0.170       2.455
    6     4  1981    DO         7.000      -2.336      12.000       0.011      -1.163
    7    16  1981    TEMP      14.000       7.168       2.000       0.001       3.584
    7    16  1981    DO         3.000       2.375       7.000      -0.146       1.114
    8    17  1981    TEMP      14.000       2.582       4.000       0.092       1.337
    8    17  1981    DO         3.000       7.640       8.000      -0.058       3.791
    9    23  1981    TEMP      18.000       7.580       6.000       0.107       3.843
    9    23  1981    DO         5.000       7.308      11.000       0.031       3.669
    5    13  1983    TEMP       9.000       3.304       4.000       0.120       1.712
    5    13  1983    DO        15.000      -5.238       7.000      -0.357      -2.797
    6    14  1983    TEMP      12.000       3.281       6.000       0.187       1.734
    6    14  1983    DO         6.000      -7.929      19.000       0.016      -3.956
    7    20  1983    TEMP       8.000     -51.951       6.000      -0.393     -26.172
    7    20  1983    DO         2.000       4.155      12.000       0.029       2.092
    8    11  1983    TEMP      10.000       2.817       2.000       0.118       1.467
    8    11  1983    DO         1.000       6.388       4.000      -0.030       3.179
    9    13  1983    TEMP      11.000       2.921       6.000      -0.349       1.286
    9    13  1983    DO         3.000       6.309      14.000       0.030       3.169
    4    17  1989    TEMP       3.000       5.603      18.000       0.546       3.074
    4    17  1989    DO         8.000       7.774      18.000      -0.582       3.596
    5     1  1989    TEMP      10.000       1.674       5.000      -0.631       0.522
    5     1  1989    DO         8.000       6.972      18.000      -0.105       3.434
    5    15  1989    TEMP       0.000       5.008       2.000       0.671       2.839
    5    15  1989    DO         7.000       8.005      14.000      -0.083       3.961
    5    26  1989    TEMP       9.000       3.357       5.000      -0.596       1.381
    5    26  1989    DO         6.000       6.089      11.000       0.073       3.081
    6    12  1989    TEMP       9.000       2.969       5.000      -0.322       1.323
    6    12  1989    DO         6.000       3.316       9.000      -0.032       1.642
    6    29  1989    TEMP       7.000       3.416       2.000       0.613       2.014
    6    29  1989    DO         3.000      -2.082       6.000      -0.132      -1.107
    7    10  1989    TEMP      10.000       2.696       2.000       0.484       1.590
    7    10  1989    DO         3.000      -5.344       8.000      -0.740      -3.042
    7    24  1989    TEMP       0.000       4.390       3.000       0.393       2.392
    7    24  1989    DO         4.000      -5.877       2.000      -0.053      -2.965
    8     7  1989    TEMP      10.000       2.605       0.000      -0.299       1.153
    8     7  1989    DO         4.000      -9.794      18.000       0.118      -4.838
    8    23  1989    TEMP      10.000       2.781       0.000       0.035       1.408
    8    23  1989    DO         4.000      -4.907      18.000       0.121      -2.393
    9     5  1989    TEMP       0.000       5.363       4.000      -0.425       2.469
    9     5  1989    DO         4.000      -3.869      19.000       0.122      -1.873
    9    18  1989    TEMP       2.000       4.543       4.000      -0.210       2.167
    9    18  1989    DO         5.000      -1.766       4.000       0.073      -0.846



 ANALYSIS OF ERRORS BETWEEN DATA AND MODEL

                                     TEMP       DO
 MAXIMUM ABSOLUTE ERROR            -51.95    10.03
 SLOPE: MODEL TO DATA REGRESSION     1.04     0.68
 REGRESSION COEFFICIENT (R**2)       0.73     0.49
 STANDARD ERROR OF ESTIMATE          4.02     2.84

 TOTAL NUMBER OF FIELD DATA IS:       390




 ANALYSIS OF ERRORS BETWEEN DATA AND MODEL AT CERTAIN DEPTHS


                                     WATER TEMPERATURES

 DEPTHS (M) FOR ERROR ANALYSIS       1.00     5.53    10.05    14.58    19.10
 SLOPE: MODEL TO DATA REGRESSION     0.74     0.86     0.64     0.49     0.00
 REGRESSION COEFFICIENT (R**2)       0.59     0.57    -3.33    -2.39     0.00
 STANDARD ERROR OF ESTIMATE          3.95     2.34     2.52     2.43     0.00
 TOTAL NUMBER OF DATA POINTS           26       26       26       22        1




                                     DISSOLVED OXYGEN

 DEPTHS (M) FOR ERROR ANALYSIS       1.00     5.53    10.05    14.58    19.10
 SLOPE: MODEL TO DATA REGRESSION     0.70     0.57     0.18     0.25     0.00
 REGRESSION COEFFICIENT (R**2)      -0.72     0.22    -1.61    -0.35     0.00
 STANDARD ERROR OF ESTIMATE          2.81     2.66     3.09     1.44     0.00
 TOTAL NUMBER OF DATA POINTS           26       26       26       22        1



 MAXIMUM CHLOROPHYLL-A  :           9-30-1989          0.000  (mg/l)
