 This simulation started under the following conditions!
 
 The input simulation start time            1           1        1990
  Month   1   Day   1     1990
  Month   1   Day   2     1990
  Month   1   Day   3     1990
  Month   1   Day   4     1990
  Month   1   Day   5     1990
  Month   1   Day   6     1990
  Month   1   Day   7     1990
  Month   1   Day   8     1990
  Month   1   Day   9     1990
  Month   1   Day  10     1990
  Month   1   Day  11     1990
  Month   1   Day  12     1990
  Month   1   Day  13     1990
  Month   1   Day  14     1990
  Month   1   Day  15     1990
  Month   1   Day  16     1990
  Month   1   Day  17     1990
  Month   1   Day  18     1990
  Month   1   Day  19     1990
  Month   1   Day  20     1990
  Month   1   Day  21     1990
  Month   1   Day  22     1990
  Month   1   Day  23     1990
  Month   1   Day  24     1990
  Month   1   Day  25     1990
  Month   1   Day  26     1990
  Month   1   Day  27     1990
  Month   1   Day  28     1990
  Month   1   Day  29     1990
  Month   1   Day  30     1990
  Month   1   Day  31     1990
  Month   2   Day   1     1990
  Month   2   Day   2     1990
  Month   2   Day   3     1990
  Month   2   Day   4     1990
  Month   2   Day   5     1990
  Month   2   Day   6     1990
  Month   2   Day   7     1990
  Month   2   Day   8     1990
  Month   2   Day   9     1990
  Month   2   Day  10     1990
  Month   2   Day  11     1990
  Month   2   Day  12     1990
  Month   2   Day  13     1990
  Month   2   Day  14     1990
  Month   2   Day  15     1990
  Month   2   Day  16     1990
  Month   2   Day  17     1990
  Month   2   Day  18     1990
  Month   2   Day  19     1990
  Month   2   Day  20     1990
  Month   2   Day  21     1990
  Month   2   Day  22     1990
  Month   2   Day  23     1990
  Month   2   Day  24     1990
  Month   2   Day  25     1990
  Month   2   Day  26     1990
  Month   2   Day  27     1990
  Month   2   Day  28     1990
  Month   3   Day   1     1990
  Month   3   Day   2     1990
  Month   3   Day   3     1990
  Month   3   Day   4     1990
  Month   3   Day   5     1990
  Month   3   Day   6     1990
  Month   3   Day   7     1990
  Month   3   Day   8     1990
  Month   3   Day   9     1990
  Month   3   Day  10     1990
  Month   3   Day  11     1990
  Month   3   Day  12     1990
  Month   3   Day  13     1990
  Month   3   Day  14     1990
  Month   3   Day  15     1990
  Month   3   Day  16     1990
  Month   3   Day  17     1990
  Month   3   Day  18     1990
  Month   3   Day  19     1990
  Month   3   Day  20     1990
  Month   3   Day  21     1990
  Month   3   Day  22     1990
  Month   3   Day  23     1990
  Month   3   Day  24     1990
  Month   3   Day  25     1990
  Month   3   Day  26     1990
  Month   3   Day  27     1990
  Month   3   Day  28     1990
  Month   3   Day  29     1990
  Month   3   Day  30     1990
  Month   3   Day  31     1990
  Month   4   Day   1     1990
  Month   4   Day   2     1990
  Month   4   Day   3     1990
  Month   4   Day   4     1990
  Month   4   Day   5     1990
  Month   4   Day   6     1990
  Month   4   Day   7     1990
  Month   4   Day   8     1990
  Month   4   Day   9     1990
