

  8      9     2010


       SIM Depth  SIM T  SIM DO  Field Depth  Field T  Field DO  Diff Tem   Diff DO
       -0.02     27.74      8.73      0.00     28.40      8.80     -0.66     -0.07
       -0.06     27.74      8.73     -1.00     26.50      9.30      0.80     -0.50
       -0.11     27.74      8.73     -2.00     26.00      9.40      0.64     -0.46
       -0.20     27.74      8.73     -3.00     25.60      9.40      0.61     -0.49
       -0.30     27.74      8.73     -4.00     25.40      9.20      0.52     -0.41
       -0.40     27.74      8.73     -5.00     25.10      8.40      0.29      0.03
       -0.50     27.74      8.73     -6.00     24.90      7.70     -0.62     -0.04
       -0.62     27.74      8.73     -7.00     24.70      7.60     -1.72     -0.85
       -0.80     27.74      8.73     -8.00     23.10      5.40     -2.02      0.55
       -1.01     27.27      8.80     -9.00     20.50      2.70     -1.33      2.44
       -1.25     27.10      8.88    -10.00     17.10      2.00      0.64      2.70
       -1.56     26.90      8.92    -11.00     15.10      2.20      1.21      2.06
       -2.00     26.64      8.94    -12.00     13.70      2.50      1.63      1.37
       -2.50     26.41      8.93    -13.00     12.80      2.70      1.72      0.79
       -3.00     26.21      8.91    -14.00     11.90      3.30      1.80     -0.19
       -3.50     26.05      8.87    -15.00     11.50      3.30      1.66     -0.37
       -4.12     25.89      8.77    -16.00     11.10      3.50      1.52     -0.74
       -5.25     25.25      8.33    -17.00     10.50      3.70      1.58     -1.11
       -7.00     22.98      6.75    -18.00     10.10      4.00      1.59     -1.51
       -9.00     19.17      5.14    -19.00      9.80      3.60      1.50     -1.21
      -11.25     15.95      4.15    -20.00      9.60      3.50      1.31     -1.20
      -14.00     13.70      3.11    -21.00      9.30      2.90      1.30     -0.63
      -17.00     12.08      2.59    -22.00      9.10      3.10      1.19     -0.86
      -20.00     10.91      2.30    -23.00      9.00      3.20      0.98     -0.99
      -23.00      9.98      2.21    -24.00      8.70      3.20      1.04     -1.03
      -26.25      9.19      2.08    -25.00      8.50      3.10      1.00     -0.97
      -29.00      8.67      1.96    -26.00      8.40      3.10      0.85     -1.01
      -31.00      8.39      1.79    -27.00      8.30      3.10      0.75     -1.05
      -33.00      8.17      1.58    -28.00      8.10      3.00      0.76     -1.00
      -35.00      7.98      1.32    -29.00      8.00      2.90      0.67     -0.94
      -37.00      7.82      1.03    -30.00      7.80      2.60      0.73     -0.73
      -39.00      7.69      0.74    -31.00      7.70      2.30      0.69     -0.51
      -41.00      7.56      0.47    -32.00      7.60      2.20      0.68     -0.51
      -43.00      7.45      0.29    -33.00      7.50      1.90      0.67     -0.32
      -45.00      7.34      0.15    -34.00      7.40      1.90      0.68     -0.45
      -47.00      7.26      0.05    -35.00      7.30      1.70      0.68     -0.38
      -49.00      7.21      0.00    -36.00      7.10      1.10      0.80      0.08
