 Output time series of simulated  DO at  5 depths, mixed layer depth over Hmax
 and saturated DO concentration at 1st depth. The depths (m) are    1.0   10.0   20.0   30.0   48.0
 106    106  2007   10.10   10.10   10.10   10.10   10.10    1.00   12.34
 107    107  2007   10.25   10.25   10.25   10.25   10.25    1.00   12.26
 108    108  2007   10.39   10.39   10.39   10.39   10.39    1.00   12.20
 109    109  2007   10.53   10.53   10.53   10.53   10.53    1.00   12.14
 110    110  2007   10.63   10.63   10.63   10.63   10.33    0.92   12.06
 111    111  2007   10.70   10.70   10.70   10.70   10.18    0.88   12.02
 112    112  2007   10.82   10.82   10.62   10.64   10.03    0.25   11.88
 113    113  2007   10.88   10.88   10.57   10.58    9.89    0.37   11.79
 114    114  2007   11.04   10.88   10.53   10.52    9.75    0.12   11.58
 115    115  2007   11.18   10.88   10.48   10.46    9.61    0.12   11.42
 116    116  2007   11.30   10.89   10.43   10.39    9.48    0.12   11.31
 117    117  2007   11.41   10.89   10.37   10.33    9.34    0.09   11.11
 118    118  2007   11.42   10.89   10.31   10.26    9.21    0.12   10.94
 119    119  2007   11.15   11.15   10.25   10.19    9.07    0.31   11.18
 120    120  2007   11.25   11.14   10.19   10.13    8.94    0.16   11.02
 121    121  2007   11.25   11.25   10.14   10.06    8.81    0.25   11.01
 122    122  2007   11.26   11.26   10.09    9.99    8.69    0.25   11.00
 123    123  2007   11.19   11.19   10.04    9.93    8.56    0.31   10.95
 124    124  2007   11.18   11.18   10.00    9.86    8.44    0.31   10.93
 125    125  2007   11.16   11.16    9.97    9.79    8.31    0.31   10.95
 126    126  2007   11.15   11.15    9.93    9.72    8.19    0.31   10.89
 127    127  2007   11.12   11.12    9.90    9.65    8.07    0.31   10.85
 128    128  2007   11.17   11.11    9.86    9.58    7.95    0.06   10.42
 129    129  2007   11.10   11.09    9.82    9.52    7.84    0.05   10.00
 130    130  2007   10.96   11.08    9.77    9.45    7.72    0.08    9.77
 131    131  2007   10.99   11.04    9.72    9.38    7.61    0.12   10.06
 132    132  2007   10.99   11.01    9.67    9.31    7.50    0.12   10.10
 133    133  2007   11.01   10.96    9.61    9.25    7.39    0.16   10.17
 134    134  2007   10.98   10.91    9.56    9.18    7.28    0.16   10.06
 135    135  2007   10.89   10.83    9.50    9.11    7.17    0.16   10.04
