 Month  Day  Year  Parameter  DepthEmax  |Error|max  DepthEmin  |Error|min  |Error|mean
    5    13  1986    TEMP       6.000       1.970       3.000      -0.344       0.813
    5    13  1986    DO        14.000       3.608       3.000      -0.243       1.682
    6    17  1986    TEMP       6.000       3.145       4.000       1.016       2.080
    6    17  1986    DO        12.000       3.385       0.000       0.276       1.830
    7    17  1986    TEMP       6.000       2.863       4.000       0.276       1.570
    7    17  1986    DO         8.000      -2.796      14.000       0.032      -1.382
    8    12  1986    TEMP       6.000       2.535       4.000      -0.015       1.260
    8    12  1986    DO        10.000      -2.440       3.000      -0.187      -1.314
    9    16  1986    TEMP      12.000       3.207       8.000       0.276       1.741
    9    16  1986    DO         9.000      -1.553       1.000      -0.030      -0.792
   10    14  1986    TEMP      13.000       1.343      12.000       0.043       0.693
   10    14  1986    DO        13.000       8.154       4.000       0.094       4.124
   11    18  1986    TEMP       0.000      -0.850       6.000      -0.034      -0.442
   11    18  1986    DO        13.000       5.913       0.500       0.155       3.034
   12    16  1986    TEMP       1.000       0.709       9.000       0.001       0.355
   12    16  1986    DO        13.500       4.791       5.000      -0.005       2.393
    1    13  1987    TEMP       6.000       0.709       0.500       0.001       0.355
    1    13  1987    DO        12.500       4.787       3.500      -0.026       2.380
    2    10  1987    TEMP      12.500       0.872       1.500       0.172       0.522
    2    10  1987    DO        12.500       3.910       3.000      -0.036       1.937
    3    17  1987    TEMP       1.000       1.977      11.500       0.004       0.990
    3    17  1987    DO        12.500      10.836       2.500       0.363       5.600
    3    25  1987    TEMP       1.000       2.255      12.000       0.188       1.221
    3    25  1987    DO        12.500       9.789       1.000       0.968       5.378
    3    31  1987    TEMP       0.000      -1.785      13.500      -0.037      -0.911
    3    31  1987    DO        12.000      10.480       0.000       0.650       5.565
    4     7  1987    TEMP       2.000       2.358      12.500       0.290       1.324
    4     7  1987    DO        12.000       9.699       0.000       2.283       5.991
    4    19  1987    TEMP       0.000       8.232      13.500       0.475       4.354
    4    19  1987    DO        12.500       8.437       0.000       1.544       4.990
    5    20  1987    TEMP       6.000       1.960      10.000       0.392       1.176
    5    20  1987    DO        12.000       6.295       5.500      -0.170       3.062
    6    23  1987    TEMP       0.000      -1.853       6.000       0.122      -0.866
    6    23  1987    DO        12.000       4.570       3.000       0.038       2.304
    7    22  1987    TEMP       0.500       2.604       8.000      -0.064       1.270
    7    22  1987    DO        11.000       3.119       3.000      -0.005       1.557
    8    17  1987    TEMP      13.000       1.361       9.000      -0.113       0.624
    8    17  1987    DO         9.000      -2.313       3.000       0.046      -1.133
    9    23  1987    TEMP      13.000       1.849       0.000      -0.107       0.871
    9    23  1987    DO         9.000      -1.951       3.000       0.145      -0.903
   10    21  1987    TEMP       3.000      -0.722       0.000      -0.322      -0.522
   10    21  1987    DO         0.000       0.928       7.000       0.041       0.484
   11    11  1987    TEMP       0.000      -1.806      14.000      -0.020      -0.913
   11    11  1987    DO         1.500      -1.676      13.000      -0.212      -0.944
   12    16  1987    TEMP       4.500       0.712       0.000      -0.002       0.355
   12    16  1987    DO        14.000       4.742       0.500       0.627       2.685
    2    17  1988    TEMP       6.500       1.084       2.500      -0.120       0.482
    2    17  1988    DO         7.500       3.955       0.500       0.089       2.022
    3     8  1988    TEMP       0.000      -0.787       7.000       0.008      -0.390
    3     8  1988    DO        13.000      11.961       0.000       2.051       7.006
    3    30  1988    TEMP       0.000      -0.799       0.500      -0.002      -0.401
    3    30  1988    DO        12.500       9.941       0.500       2.346       6.143
    4     6  1988    TEMP       1.000       1.436       0.000       0.069       0.753
    4     6  1988    DO        12.500       9.402       0.000       1.809       5.605
    4    13  1988    TEMP       0.000      -2.478       0.500       0.052      -1.213
    4    13  1988    DO        12.500       8.886       0.000       1.949       5.417
    4    20  1988    TEMP       0.000       5.833      13.500      -0.038       2.897
    4    20  1988    DO        12.500       6.950       0.000      -0.635       3.158
    5    18  1988    TEMP       4.500       3.405       0.000       0.183       1.794
    5    18  1988    DO        13.500       5.045       0.000       0.529       2.787
    5    26  1988    TEMP       0.000       5.015       9.500       0.363       2.689
    5    26  1988    DO        13.500       4.613       1.000       0.083       2.348
    5    31  1988    TEMP       4.000       4.868      12.500       0.486       2.677
    5    31  1988    DO        12.500       5.103       0.000      -0.539       2.282
    6     7  1988    TEMP       4.500       5.933      10.500       0.595       3.264
    6     7  1988    DO        12.500       5.544       3.000       0.696       3.120
    6    15  1988    TEMP       4.500       5.702      12.500      -0.116       2.793
    6    15  1988    DO        12.500       4.615       3.000       0.428       2.521
    7    13  1988    TEMP       5.500       2.319       2.000       0.019       1.169
    7    13  1988    DO         6.000       3.086       9.000       0.060       1.573
    8    17  1988    TEMP       6.500       0.983       9.000      -0.030       0.476
    8    17  1988    DO        10.500      -2.176       9.000      -0.028      -1.102
    9    14  1988    TEMP       8.000      -2.083       8.500       0.010      -1.036
    9    14  1988    DO         9.500      -1.525      12.500       0.022      -0.752
   10    12  1988    TEMP      12.500      -0.929      10.500       0.014      -0.457
   10    12  1988    DO        11.500      -7.987       8.500       0.407      -3.790
   11    30  1988    TEMP       1.000       2.371      10.000       0.256       1.314
   11    30  1988    DO        13.500       0.703      12.500      -0.035       0.334
   12    14  1988    TEMP       2.500       1.944      10.000       0.306       1.125
   12    14  1988    DO        13.500       4.796       0.000       1.469       3.132
    1    11  1989    TEMP       3.000       0.985       0.500       0.141       0.563
    1    11  1989    DO         8.500       3.289      12.500       0.984       2.137
    2    22  1989    TEMP       2.000       1.063       0.000      -0.402       0.331
    2    22  1989    DO        12.500       2.148      11.000      -0.062       1.043
    3    22  1989    TEMP       1.000       1.515      12.500       0.052       0.784
    3    22  1989    DO        13.000      10.715       0.500       1.758       6.237
    4    19  1989    TEMP       1.000       2.886      12.000       0.318       1.602
    4    19  1989    DO        12.000       9.143       0.000       1.107       5.125
    5    23  1989    TEMP       2.500       7.648      13.500       0.473       4.060
    5    23  1989    DO        12.500       6.271       0.000       0.379       3.325
    6    27  1989    TEMP       5.000       5.712      12.500       0.888       3.300
    6    27  1989    DO        11.500       4.525       0.000       0.520       2.522
    7    19  1989    TEMP       7.000       8.994       0.000       0.651       4.822
    7    19  1989    DO        12.500       2.826       9.000       0.025       1.425
    8    16  1989    TEMP       6.000       6.396       1.000       0.136       3.266
    8    16  1989    DO         9.000      -3.593       2.000       0.030      -1.782
    9    13  1989    TEMP       7.000       4.601       3.000       0.012       2.307
    9    13  1989    DO         9.000      -4.778      13.500      -0.061      -2.420
   10    17  1989    TEMP      13.500       3.735       2.000       0.276       2.006
   10    17  1989    DO        10.500      -2.910       6.000      -0.028      -1.469
   11    15  1989    TEMP       1.500       2.308       0.000      -0.738       0.785
   11    15  1989    DO         2.000       0.742      12.500       0.000       0.371
   12    12  1989    TEMP       3.000       2.034       0.000      -0.106       0.964
   12    12  1989    DO        13.500       5.205       0.500       0.025       2.615
    1    17  1990    TEMP       5.000       1.638       0.000       0.017       0.827
    1    17  1990    DO        13.000       3.003       3.500       0.078       1.540
    2    21  1990    TEMP       7.000       1.469       0.000       0.001       0.735
    2    21  1990    DO         0.500      -2.439       3.000       0.058      -1.190
    3    21  1990    TEMP       2.000       1.703       0.000       0.089       0.896
    3    21  1990    DO        12.000      11.152       0.000       0.841       5.997
    4    18  1990    TEMP       1.500       2.031       0.000       0.073       1.052
    4    18  1990    DO        11.500      10.218       0.000       1.275       5.747
    5    22  1990    TEMP       0.500      -1.895       4.500      -0.163      -1.029
    5    22  1990    DO         8.000       2.847       2.000       0.074       1.460
    6    20  1990    TEMP       3.000      -1.182       4.000      -0.172      -0.677
    6    20  1990    DO         8.500       1.849       0.500       0.281       1.065
    7    18  1990    TEMP       5.500       1.031       6.500       0.085       0.558
    7    18  1990    DO        12.500       2.792       8.500       0.067       1.429
    8    14  1990    TEMP       5.000       1.239       0.500       0.301       0.770
    8    14  1990    DO         9.500      -2.970       2.000       0.051      -1.459
    9    11  1990    TEMP      12.500       1.151       6.500      -0.034       0.558
    9    11  1990    DO         9.000      -2.331       4.500       0.000      -1.166
   10    16  1990    TEMP      14.000       1.175      12.500      -0.185       0.495
   10    16  1990    DO        11.500      -7.738      13.500       0.041      -3.849
    5    21  1991    TEMP       2.000      -1.748      12.500       0.697      -0.525
    5    21  1991    DO        13.500      -3.565       9.500       0.030      -1.767
    6    19  1991    TEMP      11.500       1.920       9.500       0.648       1.284
    6    19  1991    DO        10.500      -4.528       5.500       0.202      -2.163
    7    15  1991    TEMP       4.500      -2.502       8.000       0.024      -1.239
    7    15  1991    DO        10.500      -6.228      14.000      -0.003      -3.116
    8    27  1991    TEMP       0.500       5.314      10.500       0.119       2.716
    8    27  1991    DO         9.500      -5.996       4.000       0.024      -2.986
    9    15  1991    TEMP       6.500      -1.329       8.000      -0.002      -0.665
    9    15  1991    DO         9.000      -7.106      14.000      -0.001      -3.553
   10    15  1991    TEMP       3.000      -0.283       0.500      -0.183      -0.233
   10    15  1991    DO         0.500       1.082      10.500       0.053       0.568



 ANALYSIS OF ERRORS BETWEEN DATA AND MODEL

                                     TEMP       DO
 MAXIMUM ABSOLUTE ERROR              8.99    11.96
 SLOPE: MODEL TO DATA REGRESSION     0.96     0.64
 REGRESSION COEFFICIENT (R**2)       0.92    -0.13
 STANDARD ERROR OF ESTIMATE          1.46     3.47

 TOTAL NUMBER OF FIELD DATA IS:      1550




 ANALYSIS OF ERRORS BETWEEN DATA AND MODEL AT CERTAIN DEPTHS


                                     WATER TEMPERATURES

 DEPTHS (M) FOR ERROR ANALYSIS       1.00     4.15     7.30    10.45    13.60
 SLOPE: MODEL TO DATA REGRESSION     1.04     0.95     0.97     0.85     0.74
 REGRESSION COEFFICIENT (R**2)       0.96     0.91     0.87     0.71     0.27
 STANDARD ERROR OF ESTIMATE          1.69     1.88     1.31     0.86     0.94
 TOTAL NUMBER OF DATA POINTS           68       68       68       68       19




                                     DISSOLVED OXYGEN

 DEPTHS (M) FOR ERROR ANALYSIS       1.00     4.15     7.30    10.45    13.60
 SLOPE: MODEL TO DATA REGRESSION     0.72     0.45     0.32     0.23     0.51
 REGRESSION COEFFICIENT (R**2)       0.37    -0.74    -0.89    -1.38    -0.13
 STANDARD ERROR OF ESTIMATE          1.56     2.50     3.06     3.73     3.08
 TOTAL NUMBER OF DATA POINTS           68       68       68       68       19



 MAXIMUM CHLOROPHYLL-A  :          10-31-1992          0.000  (mg/l)
