  SIMULATION    T     INPUT FILE OPENED:PMNDULU86.TEP   
  SIMULATION    DO    INPUT FILE OPENED:PMNDULU86.DOX   
  SIMULATION    T     INPUT FILE OPENED:PMNDULU87.TEP   
  SIMULATION    DO    INPUT FILE OPENED:PMNDULU87.DOX   
  SIMULATION    T     INPUT FILE OPENED:PMNDULU88.TEP   
  SIMULATION    DO    INPUT FILE OPENED:PMNDULU88.DOX   
  SIMULATION    T     INPUT FILE OPENED:PMNDULU89.TEP   
  SIMULATION    DO    INPUT FILE OPENED:PMNDULU89.DOX   
  SIMULATION    T     INPUT FILE OPENED:PMNDULU90.TEP   
  SIMULATION    DO    INPUT FILE OPENED:PMNDULU90.DOX   
  SIMULATION    T     INPUT FILE OPENED:PMNDULU91.TEP   
  SIMULATION    DO    INPUT FILE OPENED:PMNDULU91.DOX   
  SIMULATION    T     INPUT FILE OPENED:PMNDULU92.TEP   
  SIMULATION    DO    INPUT FILE OPENED:PMNDULU92.DOX   
