 Month  Day  Year  Parameter  DepthEmax  |Error|max  DepthEmin  |Error|min  |Error|mean
    6     3  1980    TEMP       2.000      -0.846       3.000      -0.545      -0.696
    6     3  1980    DO         0.000       9.862       3.000       2.689       6.275
    7     7  1980    TEMP       1.000       4.466       3.000       2.448       3.457
    7     7  1980    DO         3.000      -6.376       1.000      -2.245      -4.311
    8     6  1980    TEMP       2.000       1.609       0.000       1.109       1.359
    8     6  1980    DO         3.000       1.417       2.000       0.226       0.822
    9     5  1980    TEMP       0.000       1.345       3.000       0.823       1.084
    9     5  1980    DO         0.000       3.172       2.000       0.924       2.048
    5     7  1981    TEMP       1.000       0.767       0.000       0.267       0.517
    5     7  1981    DO         2.000       1.914       3.000       1.751       1.832
    6     5  1981    TEMP       3.000       1.291       0.000      -0.209       0.541
    6     5  1981    DO         3.000       0.971       1.000       0.068       0.520
    7     7  1981    TEMP       3.000       0.541       0.000       0.041       0.291
    7     7  1981    DO         3.000      -4.342       1.000      -4.187      -4.265
    8     3  1981    TEMP       3.000      -1.512       0.000       0.065      -0.724
    8     3  1981    DO         1.000       1.943       0.000       1.550       1.746
    9     2  1981    TEMP       1.000       0.303       0.000      -0.197       0.053
    9     2  1981    DO         0.000      -1.578       3.000       0.120      -0.729
    5    21  1984    TEMP       0.000      -1.021       0.000      -1.021      -1.021
    5    21  1984    DO         1.000       1.201       3.000       0.712       0.957
    6    22  1984    TEMP       0.000      -1.035       2.000      -0.035      -0.535
    6    22  1984    DO         3.000       4.663       0.000       1.748       3.205
    7    26  1984    TEMP       0.000      -0.778       3.000       0.222      -0.278
    7    26  1984    DO         3.000       4.832       0.000       2.222       3.527
    8    27  1984    TEMP       0.000       3.359       3.000       0.284       1.822
    8    27  1984    DO         1.000       3.880       3.000       0.360       2.120
    9    24  1984    TEMP       0.000       1.186       0.000       1.186       1.186
    9    24  1984    DO         3.000       1.652       1.000       1.118       1.385
    4    16  1990    TEMP       1.000      -0.940       0.000      -0.840      -0.890
    4    16  1990    DO         2.000       3.549       0.000       3.279       3.414
    5     1  1990    TEMP       3.000      -1.700       0.000      -1.500      -1.600
    5     1  1990    DO         3.000       4.995       0.000       2.370       3.683
    5    15  1990    TEMP       0.000      -1.990       0.000      -1.990      -1.990
    5    15  1990    DO         3.000       3.532       0.000       1.732       2.632
    5    19  1990    TEMP       0.000      -5.964       3.000      -5.364      -5.664
    5    19  1990    DO         3.000       3.637       0.000       0.604       2.121
    6    13  1990    TEMP       0.000      -0.247       2.000       0.053      -0.097
    6    13  1990    DO         3.000       2.503       0.000       1.796       2.149
    6    26  1990    TEMP       0.000       2.311       3.000      -1.193       0.559
    6    26  1990    DO         1.000       2.906       2.000      -0.436       1.235
    7    10  1990    TEMP       0.000      -2.044       3.000      -1.844      -1.944
    7    10  1990    DO         3.000       2.089       0.000       0.198       1.143
    7    24  1990    TEMP       0.000      -1.837       3.000      -0.937      -1.387
    7    24  1990    DO         3.000       6.214       0.000      -0.209       3.003
    8     7  1990    TEMP       3.000      -0.344       1.000       0.058      -0.143
    8     7  1990    DO         0.000      -1.166       1.000       0.187      -0.489
    9     5  1990    TEMP       3.000       0.245       2.000      -0.055       0.095
    9     5  1990    DO         3.000       4.018       0.000       0.172       2.095
    9    19  1990    TEMP       0.000      -2.123       0.000      -2.123      -2.123
    9    19  1990    DO         3.000       3.600       2.000       2.855       3.228
   10     2  1990    TEMP       0.000      -1.134       3.000      -1.034      -1.084
   10     2  1990    DO         3.000       4.570       2.000       4.446       4.508
    4    20  1993    TEMP       2.000       0.893       0.000       0.793       0.843
    4    20  1993    DO         3.500       5.757       1.000      -0.969       2.394
    4    29  1993    TEMP       3.000       0.653       2.000      -0.447       0.103
    4    29  1993    DO         3.500      10.560       0.000       0.494       5.527
    5    12  1993    TEMP       0.000      -1.194       3.000      -0.394      -0.794
    5    12  1993    DO         0.000      -7.596       3.000      -6.902      -7.249
    5    26  1993    TEMP       0.000      -0.681       3.000      -0.381      -0.531
    5    26  1993    DO         2.000       0.368       3.000       0.266       0.317
    6     9  1993    TEMP       2.000      -1.107       0.000      -1.007      -1.057
    6     9  1993    DO         1.000       1.349       3.000       1.184       1.267
    6    22  1993    TEMP       2.000      -1.987       3.000      -0.886      -1.436
    6    22  1993    DO         0.000       3.851       4.000       0.134       1.992
    7     7  1993    TEMP       0.000      -1.023       3.000      -0.723      -0.873
    7     7  1993    DO         3.000       3.572       1.000       2.472       3.022
    7    21  1993    TEMP       0.000      -2.254       2.000      -1.854      -2.054
    7    21  1993    DO         1.000      -4.166       3.000      -0.034      -2.100
    8     3  1993    TEMP       0.000      -2.151       0.000      -2.151      -2.151
    8     3  1993    DO         0.000       0.386       3.000       0.086       0.236
    8    19  1993    TEMP       0.000      -0.835       2.000      -0.735      -0.785
    8    19  1993    DO         3.500       3.412       1.000       2.480       2.946
    9     1  1993    TEMP       0.000      -1.173       0.000      -1.173      -1.173
    9     1  1993    DO         0.000       0.589       3.000       0.298       0.443
    9    14  1993    TEMP       0.000      -3.142       0.000      -3.142      -3.142
    9    14  1993    DO         0.000       3.450       3.000       3.264       3.357
    9    29  1993    TEMP       0.000      -2.323       0.000      -2.323      -2.323
    9    29  1993    DO         0.000       6.277       3.000       6.079       6.178
   10    12  1993    TEMP       0.000      -1.541       0.000      -1.541      -1.541
   10    12  1993    DO         0.000       3.688       3.000       3.512       3.600



 ANALYSIS OF ERRORS BETWEEN DATA AND MODEL

                                     TEMP       DO
 MAXIMUM ABSOLUTE ERROR             -5.96    10.56
 SLOPE: MODEL TO DATA REGRESSION     0.89     0.53
 REGRESSION COEFFICIENT (R**2)       0.90    -0.16
 STANDARD ERROR OF ESTIMATE          1.70     3.31

 TOTAL NUMBER OF FIELD DATA IS:       164




 ANALYSIS OF ERRORS BETWEEN DATA AND MODEL AT CERTAIN DEPTHS


                                     WATER TEMPERATURES

 DEPTHS (M) FOR ERROR ANALYSIS       1.00     1.67     2.35     3.02     3.70
 SLOPE: MODEL TO DATA REGRESSION     0.89     0.92     0.93     0.00     0.00
